"InstanceInst.","StatusStat.","VariablesVari.","BinariesBina.","IntegersInte.","ContinuousCont.","ConstraintsCons.","Nonz.Nonz.","SubmitterSubm.","GroupGrou.","ObjectiveObje.","TagsTags."
"physiciansched6-2","easy","111827","109346","0","2481","168336","480259","Pelin Damci-Kurt","physiciansched","49324","benchmark decomposition benchmark_suitable precedence variable_bound set_packing set_covering invariant_knapsack binpacking knapsack mixed_binary"
"pigeon-08","easy","344","272","0","72","601","5176","Sam Allen","pigeon","-7000","benchmark_suitable set_partitioning cardinality invariant_knapsack mixed_binary"
"pigeon-10","easy","490","400","0","90","931","8150","Sam Allen","pigeon","-9000","benchmark_suitable set_partitioning cardinality invariant_knapsack mixed_binary"
"pigeon-13","easy","754","637","0","117","1561","13871","Sam Allen","pigeon","-12000","benchmark_suitable set_partitioning cardinality invariant_knapsack mixed_binary"
"pigeon-16","easy","1072","928","0","144","2353","21104","Sam Allen","pigeon","-15000","benchmark_suitable set_partitioning cardinality invariant_knapsack mixed_binary"
"pigeon-20","easy","1580","1400","0","180","3661","33100","Sam Allen","pigeon","-19000","benchmark_suitable set_partitioning cardinality invariant_knapsack mixed_binary"
"piperout-03","easy","9526","9373","129","24","12246","39067","Gleb Belov","piperout","74981.99999999999","benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing set_covering invariant_knapsack equation_knapsack integer_knapsack mixed_binary general_linear"
"piperout-08","easy","10399","10245","130","24","14589","44959","Gleb Belov","piperout","125054.9999999999","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing set_covering invariant_knapsack equation_knapsack integer_knapsack mixed_binary general_linear"
"piperout-27","easy","11659","11514","121","24","18442","54662","Gleb Belov","piperout","8123.999999999973","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing set_covering invariant_knapsack equation_knapsack integer_knapsack mixed_binary general_linear"
"piperout-d20","easy","11961","11788","149","24","15562","190915","Gleb Belov","piperout","29948","decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing set_covering invariant_knapsack binpacking knapsack integer_knapsack mixed_binary general_linear"
"piperout-d27","easy","13104","12931","149","24","17470","224457","Gleb Belov","piperout","8124","decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing set_covering invariant_knapsack binpacking knapsack integer_knapsack mixed_binary general_linear"
"pizza27i","open","311316","115831","195485","0","359835","642512","Gleb Belov","pizza","701882*","indicator numerics aggregations precedence variable_bound set_partitioning cardinality binpacking general_linear"
"pizza78i","open","385067","143886","241181","0","443776","796615","Gleb Belov","pizza","564039*","indicator numerics aggregations precedence variable_bound set_partitioning cardinality binpacking general_linear"
"pk1","easy","86","55","0","31","45","915","MIPLIB submission pool","–","11","benchmark benchmark_suitable precedence mixed_binary"
"polygonpack3-15","open","44237","44207","0","30","144478","731949","Antonio Frangioni","polygonpack","-54680307.392604*","numerics precedence variable_bound set_packing invariant_knapsack mixed_binary"
"polygonpack4-10","open","20537","20517","0","20","65935","339036","Antonio Frangioni","polygonpack","-53594065.703*","numerics set_packing invariant_knapsack mixed_binary"
"polygonpack4-15","open","44237","44207","0","30","144478","731949","Antonio Frangioni","polygonpack","-63613612.41121812*","numerics set_packing invariant_knapsack mixed_binary"
"polygonpack4-7","open","10788","10774","0","14","34529","178591","Antonio Frangioni","polygonpack","-51837707.95034043*","numerics set_packing invariant_knapsack mixed_binary"
"polygonpack5-15","open","48163","48133","0","30","163429","804740","Antonio Frangioni","polygonpack","-54950356.2656221*","numerics precedence variable_bound set_packing invariant_knapsack mixed_binary"
"ponderthis0517-inf","easy","975","975","0","0","78","2925","Rob Pratt","–","Infeasible","infeasible binary feasibility benchmark_suitable set_partitioning set_packing"
"probportfolio","hard","320","300","0","20","302","6620","Feng Qiu","–","16.734246764","invariant_knapsack mixed_binary"
"prod1","easy","250","149","0","101","208","5350","MIPLIB submission pool","–","-56","benchmark_suitable variable_bound set_partitioning set_covering mixed_binary"
"prod2","easy","301","200","0","101","211","10501","MIPLIB submission pool","–","-62","benchmark_suitable variable_bound set_partitioning mixed_binary"
"proteindesign121hz512p19","open","2589931","2589840","91","0","301","10331137","Gleb Belov","proteindesign","3382.0*","numerics set_partitioning general_linear"
"proteindesign121hz512p9","hard","159145","159054","91","0","301","629449","Gleb Belov","proteindesign","1473","benchmark benchmark_suitable set_partitioning general_linear"
"proteindesign121pgb11p9","easy","132672","132594","78","0","254","524690","Gleb Belov","proteindesign","1209","benchmark_suitable set_partitioning general_linear"
"proteindesign122trx11p8","easy","127326","127248","78","0","254","503427","Gleb Belov","proteindesign","1747","benchmark benchmark_suitable set_partitioning general_linear"
"pw-myciel4","easy","1059","1058","1","0","8164","17779","Arie Koster","–","9.999999999999996","benchmark_suitable precedence variable_bound set_partitioning general_linear"
"pythago7824","hard","3740","3740","0","0","14652","43956","Felix J. L. Willamowski","–","0","binary feasibility set_covering invariant_knapsack"
"pythago7825","open","3745","3745","0","0","14672","44016","Felix J. L. Willamowski","–","NA","no_solution binary feasibility set_covering invariant_knapsack"
"qap10","easy","4150","4150","0","0","1820","18200","MIPLIB submission pool","–","339.9999999983871","benchmark binary benchmark_suitable set_partitioning"
"qiu","easy","840","48","0","792","1192","3432","Y. Chiu, J. Eckstein","–","-132.87313695","benchmark_suitable precedence variable_bound mixed_binary"
"qnet1","easy","1541","1288","129","124","503","4622","MIPLIB submission pool","–","16029.69268099998","aggregations precedence variable_bound set_partitioning set_covering cardinality general_linear"
"qnet1_o","easy","1541","1288","129","124","456","4214","MIPLIB submission pool","–","16029.692681","decomposition aggregations precedence variable_bound set_partitioning cardinality general_linear"
"queens-30","hard","900","900","0","0","960","93440","Ashutosh Mahajan","–","-40","binary knapsack"
"r4l4-02-tree-bounds-50","open","11468","1938","2830","6700","4768","19072","Christian Liebchen","–","499258899.0000008*","aggregations mixed_binary general_linear"
"r50x360","easy","720","360","0","360","410","1440","MIPLIB submission pool","pr_product","1653","decomposition benchmark_suitable aggregations variable_bound mixed_binary"
"radiationm18-12-05","easy","40623","14688","11247","14688","40935","96149","Gleb Belov","radiation","17566","benchmark decomposition benchmark_suitable aggregations precedence variable_bound integer_knapsack mixed_binary general_linear"
"radiationm40-10-02","hard","172013","62400","47213","62400","173603","406825","Gleb Belov","radiation","155328","benchmark decomposition benchmark_suitable aggregations precedence variable_bound integer_knapsack mixed_binary general_linear"
"rail01","easy","117527","117527","0","0","46843","392086","Thomas Schlechte","rail0","-70.5699643","benchmark binary benchmark_suitable aggregations variable_bound set_partitioning set_packing cardinality knapsack"
"rail02","easy","270869","270869","0","0","95791","756228","Thomas Schlechte","rail0","-200.4499077","benchmark binary benchmark_suitable aggregations set_partitioning set_packing cardinality"
"rail03","hard","758775","758775","0","0","253905","1728451","Thomas Schlechte","rail0","-867.093965444446","binary numerics aggregations variable_bound set_partitioning set_packing cardinality knapsack"
"rail507","easy","63019","63009","0","10","509","468878","A. Caprara, M. Fischetti, P. Toth","–","174","benchmark binary benchmark_suitable variable_bound set_covering invariant_knapsack"
"railway_8_1_0","easy","1796","1177","0","619","2527","7098","MIPLIB submission pool","–","400","benchmark_suitable precedence invariant_knapsack mixed_binary"
"ramos3","open","2187","2187","0","0","2187","32805","F. Ramos","–","186.0*","binary set_covering"
"ran12x21","easy","504","252","0","252","285","1008","J. Aronson","ran","3663.999999980964","decomposition benchmark_suitable variable_bound mixed_binary"
"ran13x13","easy","338","169","0","169","195","676","J. Aronson","ran","3252","decomposition benchmark_suitable variable_bound mixed_binary"
"ran14x18-disj-8","easy","504","252","0","252","447","10277","J. Aronson","ran","3712","benchmark benchmark_suitable variable_bound set_covering mixed_binary"
"rd-rplusc-21","easy","622","457","0","165","125899","852384","MIPLIB submission pool","–","165395.275295","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning mixed_binary"
"reblock115","easy","1150","1150","0","0","4735","13724","Andreas Bley","reblock","-36800603.2332","benchmark binary benchmark_suitable precedence knapsack"
"reblock166","easy","1660","1660","0","0","17024","39442","Andreas Bley","reblock","-600052168.91","binary benchmark_suitable precedence knapsack"
"reblock354","hard","3540","3540","0","0","19906","52901","Andreas Bley","reblock","-39280521.2281657","binary precedence knapsack"
"reblock420","easy","4200","4200","0","0","62800","138670","Andreas Bley","reblock","-517793000","binary benchmark_suitable precedence knapsack"
"rentacar","easy","9557","55","0","9502","6803","41842","MIPLIB submission pool","–","30356760.98379315","aggregations precedence variable_bound mixed_binary"
"rfds-4-days","open","2184028","190080","0","1993948","1766257","10464790","Dan Neiman","–","-1126397.23187544*","numerics aggregations mixed_binary general_linear"
"rlp1","easy","461","450","0","11","68","836","MIPLIB submission pool","–","14.99999999990919","benchmark_suitable cardinality mixed_binary"
"rmatr100-p10","easy","7359","100","0","7259","7260","21877","Dmitry Krushinsky","rmatr","423","benchmark benchmark_suitable cardinality mixed_binary"
"rmatr100-p5","easy","8784","100","0","8684","8685","26152","Dmitry Krushinsky","rmatr","976","benchmark_suitable cardinality mixed_binary"
"rmatr200-p10","hard","35254","200","0","35054","35055","105362","Dmitry Krushinsky","rmatr","2017","cardinality mixed_binary"
"rmatr200-p20","hard","29605","200","0","29405","29406","88415","Dmitry Krushinsky","rmatr","837","cardinality mixed_binary"
"rmatr200-p5","easy","37816","200","0","37616","37617","113048","Dmitry Krushinsky","rmatr","4521","benchmark benchmark_suitable cardinality mixed_binary"
"rmine11","open","12292","12292","0","0","97389","241240","Daniel Espinoza","rmine","-2508.404144*","binary precedence mixed_binary"
"rmine13","open","23980","23980","0","0","197155","485784","Daniel Espinoza","rmine","-3495.3706624382535*","binary precedence mixed_binary"
"rmine15","open","42438","42438","0","0","358395","879732","Daniel Espinoza","rmine","-5018.819990999996*","binary precedence mixed_binary"
"rmine21","open","162547","162547","0","0","1441651","3514884","Daniel Espinoza","rmine","-10618.75083837232*","binary precedence mixed_binary"
"rmine25","open","326599","326599","0","0","2953849","7182744","Daniel Espinoza","rmine","-15541.66928749976*","binary precedence mixed_binary"
"rocI-3-11","easy","5132","3894","762","476","8165","20540","Joerg Rambau","rocI","-50403","numerics aggregations precedence variable_bound set_partitioning mixed_binary general_linear"
"rocI-4-11","easy","6839","5192","1016","631","10883","27383","Joerg Rambau","rocI","-6020203","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning mixed_binary general_linear"
"rocII-10-11","open","22968","22616","0","352","52692","604216","Joerg Rambau","rocI","-11.788306728252564*","aggregations precedence variable_bound set_partitioning set_packing mixed_binary"
"rocII-5-11","easy","11523","11341","0","182","26897","303291","Joerg Rambau","rocI","-6.675504731538","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing mixed_binary"
"rocII-8-11","open","18390","18106","0","284","42374","483846","Joerg Rambau","rocI","-8.739845350261154*","aggregations precedence variable_bound set_partitioning set_packing mixed_binary"
"rococoB10-011000","easy","4456","4320","136","0","1667","16517","A. Chabrier, E. Danna, C. Le Pape, L. Perron","rococo","19449","benchmark decomposition benchmark_suitable precedence set_partitioning cardinality general_linear"
"rococoC10-001000","easy","3117","2993","124","0","1293","11751","A. Chabrier, E. Danna, C. Le Pape, L. Perron","rococo","11460","benchmark benchmark_suitable precedence set_partitioning cardinality general_linear"
"rococoC11-010100","hard","12321","12155","166","0","4010","46955","A. Chabrier, E. Danna, C. Le Pape, L. Perron","rococo","20889","decomposition aggregations precedence set_partitioning cardinality invariant_knapsack general_linear"
"rococoC11-011100","easy","6491","6325","166","0","2367","30472","A. Chabrier, E. Danna, C. Le Pape, L. Perron","rococo","20889","decomposition benchmark_suitable aggregations precedence set_partitioning cardinality invariant_knapsack general_linear"
"rococoC12-010001","hard","16741","16554","187","0","4636","59832","A. Chabrier, E. Danna, C. Le Pape, L. Perron","rococo","34045.0","decomposition precedence set_partitioning cardinality knapsack general_linear"
"roi2alpha3n4","easy","6816","6642","0","174","1251","878812","Domenico Salvagnin","–","-63.20849503","benchmark benchmark_suitable variable_bound cardinality binpacking mixed_binary"
"roi5alpha10n8","hard","106150","105950","0","200","4665","2370224","Domenico Salvagnin","–","-52.322274351","benchmark decomposition benchmark_suitable variable_bound cardinality binpacking mixed_binary"
"roll3000","easy","1166","246","492","428","2295","29386","L. Kroon","–","12889.999992","benchmark benchmark_suitable precedence variable_bound set_packing set_covering invariant_knapsack binpacking integer_knapsack mixed_binary general_linear"
"rout","easy","556","300","15","241","291","2431","MIPLIB submission pool","–","1077.559999999999","decomposition benchmark_suitable variable_bound set_packing integer_knapsack general_linear"
"rpp22falsei","easy","25462","10276","15056","130","33269","56547","Gleb Belov","rpp","0","feasibility indicator numerics aggregations precedence variable_bound set_partitioning set_covering invariant_knapsack mixed_binary general_linear"
"rvb-sub","hard","33765","33763","0","2","225","984143","S. Weider","–","16.08499802","binary set_partitioning knapsack"
"rwth-timetable","open","923564","317079","0","606485","440134","4510786","Gerald Lach","–","777065.0000013275*","aggregations precedence variable_bound set_partitioning set_packing mixed_binary"
"s100","hard","364417","364417","0","0","14733","1777917","Daniel Espinoza","Spinoza","-0.1697235270583","benchmark binary benchmark_suitable aggregations set_partitioning set_packing cardinality invariant_knapsack knapsack"
"s1234","hard","2945","2945","0","0","8418","44641","Siwei Sun","SiweiSun","29","binary precedence set_covering invariant_knapsack binpacking knapsack"
"s250r10","easy","273142","273139","0","3","10962","1318607","Daniel Espinoza","Spinoza","-0.1717804834232","benchmark benchmark_suitable aggregations set_partitioning set_packing cardinality invariant_knapsack knapsack mixed_binary"
"s55","easy","78141","78137","0","4","9892","317902","Daniel Espinoza","Spinoza","-22.15177316","benchmark_suitable aggregations set_partitioning set_packing cardinality invariant_knapsack knapsack mixed_binary"
"s82","open","1690631","1690577","0","54","87878","7022608","Daniel Espinoza","Spinoza","-33.78523764658873*","numerics aggregations set_partitioning set_packing cardinality invariant_knapsack binpacking knapsack mixed_binary"
"satellites2-25","easy","35378","34324","0","1054","20916","283668","He Renjie","satellites","-19","benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack knapsack mixed_binary"
"satellites2-40","easy","35378","34324","0","1054","20916","283668","He Renjie","satellites","-19","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack knapsack mixed_binary"
"satellites2-60-fs","easy","35378","34324","0","1054","16516","125048","He Renjie","satellites","-19.0000000001","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing cardinality knapsack mixed_binary"
"satellites3-25","hard","81681","79961","0","1720","44804","698176","He Renjie","satellites","-25","benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack knapsack mixed_binary"
"satellites4-25","hard","95637","93747","0","1890","51712","821192","He Renjie","satellites","-25","benchmark_suitable aggregations precedence set_partitioning set_packing cardinality invariant_knapsack knapsack mixed_binary"
"savsched1","easy","328575","252731","0","75844","295989","1770507","Gerardo Gonzalez","–","3217.7","benchmark benchmark_suitable aggregations variable_bound set_packing invariant_knapsack mixed_binary"
"scpj4scip","open","99947","99947","0","0","1000","999893","Shunji Umetani","scp","128*","binary set_covering"
"scpk4","open","1e+05","1e+05","0","0","2000","1000000","Shunji Umetani","scp","320.0*","binary set_covering"
"scpl4","open","2e+05","2e+05","0","0","2000","2000000","Shunji Umetani","scp","259.0*","binary set_covering"
"scpm1","open","5e+05","5e+05","0","0","5000","6250000","Shunji Umetani","scp","542.0*","binary set_covering"
"scpn2","open","1e+06","1e+06","0","0","5000","12500000","Shunji Umetani","scp","490.0*","binary set_covering"
"sct1","open","22886","10312","0","12574","12154","105571","Siemens","sct","-187.527650839031*","decomposition aggregations precedence variable_bound invariant_knapsack knapsack mixed_binary general_linear"
"sct2","easy","5885","2872","0","3013","2151","23643","Siemens","sct","-230.9891623","benchmark benchmark_suitable precedence invariant_knapsack knapsack mixed_binary general_linear"
"sct31","easy","8515","5520","0","2995","3932","68453","Siemens","sct","-29.31709163566364","aggregations precedence invariant_knapsack knapsack mixed_binary general_linear"
"sct32","hard","9767","7728","0","2039","5440","109654","Siemens","sct","-17.8875590846509","decomposition aggregations precedence set_partitioning set_covering invariant_knapsack knapsack mixed_binary general_linear"
"sct5","open","37265","23004","0","14261","13304","147037","Siemens","sct","-228.1172303718*","decomposition aggregations precedence invariant_knapsack knapsack mixed_binary general_linear"
"seqsolve1","open","207665","123834","82835","996","242243","1027681","Irv Lustig","seqsolve","4277.0*","aggregations variable_bound set_packing invariant_knapsack binpacking knapsack integer_knapsack general_linear"
"seqsolve2short4288","open","207665","123834","82835","996","242244","1028179","Irv Lustig","seqsolve","NA","no_solution aggregations variable_bound set_packing invariant_knapsack binpacking knapsack integer_knapsack mixed_binary general_linear"
"seqsolve3short4288excess384","open","207665","123834","82835","996","242245","1028677","Irv Lustig","seqsolve","NA","no_solution aggregations variable_bound set_packing invariant_knapsack binpacking knapsack integer_knapsack mixed_binary general_linear"
"set3-09","open","4019","1424","0","2595","3747","13747","Kerem Akartunali","set3","176497.15*","precedence variable_bound mixed_binary"
"set3-10","hard","4019","1424","0","2595","3747","13747","Kerem Akartunali","set3","185179.043049708","precedence variable_bound mixed_binary"
"set3-15","hard","4019","1424","0","2595","3747","13747","Kerem Akartunali","set3","124886","precedence variable_bound mixed_binary"
"set3-16","open","4019","1424","0","2595","3747","13747","Kerem Akartunali","set3","134040.4097522878*","precedence variable_bound mixed_binary"
"set3-20","hard","4019","1424","0","2595","3747","13747","Kerem Akartunali","set3","159462.572721458","precedence variable_bound mixed_binary"
"seymour","easy","1372","1372","0","0","4944","33549","W. Cook, P. Seymour","–","423","benchmark binary benchmark_suitable variable_bound set_covering"
"seymour1","easy","1372","451","0","921","4944","33549","MIPLIB submission pool","–","410.76370139","benchmark benchmark_suitable variable_bound set_covering mixed_binary"
"shiftreg1-4","easy","10008","3912","0","6096","8136","29976","Domenico Salvagnin","shiftreg","132.66969396","decomposition numerics aggregations set_partitioning cardinality equation_knapsack binpacking knapsack mixed_binary"
"shiftreg2-7","hard","11404","4152","0","7252","8540","34900","Domenico Salvagnin","shiftreg","230.326187744737","decomposition numerics aggregations set_partitioning cardinality equation_knapsack binpacking knapsack mixed_binary"
"shiftreg5-1","open","48736","10608","0","38128","31424","157504","Domenico Salvagnin","shiftreg","522.1155479894852*","numerics aggregations set_partitioning cardinality equation_knapsack binpacking knapsack mixed_binary"
"shipsched","open","13594","10549","0","3045","45554","121571","Marco Luebbecke","–","111972.99957841111*","aggregations precedence mixed_binary"
"shipschedule3shipsi","easy","10513","4817","4343","1353","16727","31243","Gleb Belov","shipschedule","-265650","indicator numerics aggregations precedence variable_bound set_partitioning invariant_knapsack integer_knapsack mixed_binary general_linear"
"shipschedule6shipsmixi","easy","18770","10310","7104","1356","27823","55903","Gleb Belov","shipschedule","-301650","indicator numerics aggregations precedence variable_bound set_partitioning invariant_knapsack integer_knapsack mixed_binary general_linear"
"shipschedule8shipsmixuci","easy","25206","13635","9763","1808","37821","75480","Gleb Belov","shipschedule","-389100","indicator numerics aggregations precedence variable_bound set_partitioning invariant_knapsack integer_knapsack mixed_binary general_linear"
"shs1014","open","444474","1296","440754","2424","134322","1046077","Christoph Helmberg","shs","22671.75152511*","aggregations variable_bound set_partitioning set_packing invariant_knapsack integer_knapsack general_linear"
"shs1023","hard","444625","1296","440899","2430","133944","1044725","C. Helmberg","shs","13136.636273","aggregations variable_bound set_partitioning set_packing invariant_knapsack integer_knapsack general_linear"
"shs1042","open","467589","864","464295","2430","133377","1114011","C. Helmberg","shs","11070.7015802402*","aggregations variable_bound set_partitioning integer_knapsack general_linear"
"siena1","open","13741","11775","0","1966","2220","258915","Double-Click SAS","–","10359207.14391836*","numerics set_covering mixed_binary general_linear"
"sing11","open","175352","165337","0","10015","105858","479075","Daniel Espinoza","sing","19108639.4603942*","decomposition aggregations variable_bound set_partitioning cardinality mixed_binary"
"sing17","open","452787","432541","0","20246","266802","1205830","Daniel Espinoza","sing","36177046.91481996*","aggregations variable_bound set_partitioning cardinality mixed_binary"
"sing326","hard","55156","40010","0","15146","50781","268173","Daniel Espinoza","sing","7753674.85376","benchmark decomposition benchmark_suitable aggregations variable_bound set_partitioning cardinality mixed_binary"
"sing44","hard","59708","43524","0","16184","54745","281260","Daniel Espinoza","sing","8128831.1772","benchmark decomposition benchmark_suitable aggregations variable_bound set_partitioning cardinality mixed_binary"
"sing5","open","154463","146210","0","8253","92183","408715","Daniel Espinoza","sing","18778435.60767737*","decomposition aggregations variable_bound set_partitioning cardinality mixed_binary"
"snip10x10-35r1budget17","hard","47611","63","0","47548","213801","475334","Utz-Uwe Haus","–","72.30862035707088","aggregations variable_bound invariant_knapsack mixed_binary"
"snp-02-004-104","easy","228350","167","167","228016","126512","463941","Gerald Gamrath","supplynetworkplanning","586803238.6567289","benchmark benchmark_suitable aggregations variable_bound mixed_binary general_linear"
"snp-04-052-052","open","221438","4546","4546","212346","129662","459205","Gerald Gamrath","supplynetworkplanning","885202237.1881002*","numerics aggregations variable_bound mixed_binary general_linear"
"snp-06-004-052","open","328461","494","494","327473","183168","668716","Gerald Gamrath","supplynetworkplanning","1869531919.902*","numerics aggregations variable_bound mixed_binary general_linear"
"snp-10-004-052","open","538777","815","815","537147","300348","1097779","Gerald Gamrath","supplynetworkplanning","5906642865.78*","numerics aggregations variable_bound mixed_binary general_linear"
"snp-10-052-052","open","549021","11059","11059","526903","320836","1138755","Gerald Gamrath","supplynetworkplanning","6364531568.73705*","numerics aggregations variable_bound mixed_binary general_linear"
"sorrell3","hard","1024","1024","0","0","169162","338324","Toni Sorrell","independentset","-16","benchmark binary benchmark_suitable variable_bound"
"sorrell4","hard","2048","2048","0","0","504451","1008902","Toni Sorrell","independentset","-24","binary variable_bound"
"sorrell7","open","2048","2048","0","0","78848","157696","Toni Sorrell","independentset","-197.0*","binary variable_bound"
"sorrell8","easy","2046","2046","0","0","18944","37888","Toni Sorrell","independentset","-350","binary decomposition variable_bound"
"sp150x300d","easy","600","300","0","300","450","1200","MIPLIB submission pool","sp_product","69","benchmark decomposition benchmark_suitable aggregations variable_bound mixed_binary"
"sp97ar","easy","14101","14101","0","0","1761","290968","J. Goessens, S. v. Hoessel, L. Kroon","sp9","660705645.759","benchmark binary benchmark_suitable variable_bound set_packing set_covering mixed_binary"
"sp97ic","easy","12497","12497","0","0","1033","316629","J. Goessens, S. v. Hoessel, L. Kroon","sp9","427684487.6799999","binary decomposition benchmark_suitable variable_bound set_packing set_covering mixed_binary"
"sp98ar","easy","15085","15085","0","0","1435","426148","J. Goessens, S. v. Hoessel, L. Kroon","sp9","529740623.2","benchmark binary benchmark_suitable variable_bound set_packing set_covering mixed_binary"
"sp98ic","easy","10894","10894","0","0","825","316317","J. Goessens, S. v. Hoessel, L. Kroon","sp9","449144758.4","binary decomposition benchmark_suitable variable_bound set_packing set_covering mixed_binary"
"sp98ir","easy","1680","992","688","0","1531","71704","J. Goessens, S. v. Hoessel, L. Kroon","sp9","219676790.4","decomposition benchmark_suitable precedence variable_bound set_covering binpacking knapsack mixed_binary general_linear"
"splan1","open","1317382","90810","1978","1224594","572800","5233840","C. Helmberg, A. Lau","–","-194336.3443844448*","numerics aggregations variable_bound set_partitioning set_packing cardinality invariant_knapsack knapsack integer_knapsack mixed_binary general_linear"
"splice1k1","hard","3253","3252","1","0","6505","1761016","Gleb Belov","splice","-394","benchmark benchmark_suitable set_covering binpacking general_linear"
"splice1k1i","hard","19513","6504","13009","0","22765","1780528","Gleb Belov","splice","-394","indicator numerics aggregations precedence variable_bound general_linear"
"square23","easy","11660","11638","22","0","7887","898813","Sascha Kurz","square","13","benchmark_suitable set_partitioning general_linear"
"square31","easy","28860","28830","30","0","19435","3937200","Sascha Kurz","square","15","benchmark_suitable set_partitioning general_linear"
"square37","easy","49320","49284","36","0","33150","9475672","Sascha Kurz","square","14.9999997973","benchmark_suitable set_partitioning general_linear"
"square41","easy","62234","62197","37","0","40160","13566426","Sascha Kurz","square","15","benchmark benchmark_suitable set_partitioning general_linear"
"square47","easy","95030","94987","43","0","61591","27329856","Sascha Kurz","square","15.9999999997877","benchmark benchmark_suitable set_partitioning general_linear"
"stein15inf","easy","15","15","0","0","37","135","MIPLIB submission pool","stein","Infeasible","infeasible binary set_covering invariant_knapsack mixed_binary"
"stein45inf","easy","45","45","0","0","332","1079","MIPLIB submission pool","stein","Infeasible","infeasible binary variable_bound set_covering invariant_knapsack mixed_binary"
"stein9inf","easy","9","9","0","0","14","54","MIPLIB submission pool","stein","Infeasible","infeasible binary set_covering invariant_knapsack mixed_binary"
"stoch-vrpvrp-s5v2c8vrp-v2c8i","hard","8436","1485","734","6217","13813","26231","Gleb Belov","vrp","329.9999999999999","indicator numerics aggregations precedence variable_bound set_partitioning set_packing mixed_binary general_linear"
"stockholm","open","20644","962","0","19682","57346","171076","Paul Rubin","–","124.9999999999667*","variable_bound mixed_binary"
"stp3d","hard","204880","204880","0","0","159488","662128","T. Koch","–","493.71965","binary decomposition aggregations precedence variable_bound set_partitioning set_packing cardinality"
"supportcase1","easy","29999","29799","200","0","59997","189292","Michael Winkler","–","20078","numerics aggregations precedence invariant_knapsack binpacking knapsack general_linear"
"supportcase10","hard","14770","14770","0","0","165684","555082","Michael Winkler","–","7","benchmark binary benchmark_suitable aggregations precedence variable_bound set_covering invariant_knapsack"
"supportcase11","easy","8066286","8066286","0","0","15270211","32602332","Michael Winkler","–","-14.281996107","binary numerics aggregations variable_bound"
"supportcase12","easy","799616","0","200","799416","166781","2334437","Michael Winkler","–","-7559.533053817","benchmark benchmark_suitable aggregations variable_bound integer_knapsack mixed_binary general_linear"
"supportcase14","easy","304","304","0","0","234","1129","Michael Winkler","–","288","binary aggregations variable_bound set_partitioning set_packing cardinality"
"supportcase16","easy","319","319","0","0","130","1076","Michael Winkler","–","288","binary aggregations variable_bound set_partitioning set_packing cardinality"
"supportcase17","easy","1381","732","235","414","2108","5253","Michael Winkler","–","1329.999999999999","benchmark_suitable aggregations precedence variable_bound set_partitioning mixed_binary general_linear"
"supportcase18","easy","13410","13410","0","0","240","28920","Michael Winkler","–","48","benchmark binary benchmark_suitable set_partitioning binpacking"
"supportcase19","hard","1429098","1311292","117806","0","10713","4287094","Michael Winkler","–","12677205.99992052","benchmark benchmark_suitable variable_bound set_partitioning set_covering general_linear"
"supportcase2","open","2912","2912","0","0","597385","7653928","Michael Winkler","–","65*","binary aggregations set_covering invariant_knapsack binpacking"
"supportcase20","easy","903","300","0","603","903","46955","Michael Winkler","–","45592","benchmark_suitable aggregations variable_bound mixed_binary general_linear"
"supportcase21i","easy","27","24","3","0","7540","95325","Michael Winkler","–","20","indicator numerics set_covering invariant_knapsack general_linear"
"supportcase22","hard","7129","7129","0","0","260602","2228828","Michael Winkler","–","117.0","benchmark binary benchmark_suitable aggregations set_covering invariant_knapsack binpacking knapsack"
"supportcase23","open","24275","6250","0","18025","40502","161525","Michael Winkler","–","-12160.6593559088*","decomposition precedence mixed_binary"
"supportcase25","easy","6769","576","0","6193","6673","22825","Michael Winkler","–","0.04829280869043","decomposition numerics aggregations variable_bound mixed_binary"
"supportcase26","easy","436","396","0","40","870","2492","Michael Winkler","–","1745.123813","benchmark benchmark_suitable precedence mixed_binary"
"supportcase27i","easy","3185","912","1675","598","3912","7053","Michael Winkler","–","1330","indicator numerics aggregations precedence variable_bound set_partitioning mixed_binary general_linear"
"supportcase28i","easy","7560","24","7536","0","15073","93811","Michael Winkler","–","20","indicator numerics set_covering invariant_knapsack general_linear"
"supportcase29","easy","12050","12050","0","0","12441","96050","Domenico Salvagnin","–","Infeasible","infeasible binary decomposition benchmark_suitable precedence set_packing invariant_knapsack binpacking knapsack mixed_binary"
"supportcase3","hard","4191","4191","0","0","12702","53470","Michael Winkler","–","0","binary feasibility aggregations precedence variable_bound invariant_knapsack knapsack mixed_binary"
